artist_name,artist_popularity,artist_followers
fifth harmony,69.0,16221646.0
fifty fifty,63.0,1990839.0
finn,33.0,25563.0
finneas,69.0,2356803.0
fiona apple,62.54545454545455,1800820.0
fitz and the tantrums,65.0,1009778.0
fivio foreign,61.0,1472981.0
fixl,46.0,3963.0
fka twigs,63.5,1442113.0
fleetwood mac,83.0,13973668.0
fleurie,59.0,304570.0
flight,37.0,103691.0
flo milli,67.0,1567636.0
flo rida,79.0,8973505.0
floats,7.0,404.0
flora cash,56.0,346992.0
florence + the machine,77.0,7228235.0
florida georgia line,70.0,5589342.0
flower face,49.0,171981.0
floyymenor,76.0,2186739.0
flume,68.0,2508551.0
foo fighters,75.0,12955017.0
foreigner,72.0,3832095.0
forest blakk,62.0,261055.0
forrest finn,0.0,70.0
forrest frank,77.0,2268298.0
foster the people,70.0,4025972.0
fourtwnty,68.0,3646136.0
foxilitus,40.0,15524.0
framed,42.0,84255.0
franco micalizzi,38.0,12527.0
frank ocean,83.5,20293960.0
frank walker,50.0,114271.0
frankie ballard,45.0,352409.0
frankie muriel,38.0,805.0
frankie rose,23.0,35207.0
fransii,21.0,488.0
franz ferdinand,68.0,2991445.0
fraser stott,13.0,119.0
fred again..,77.0,2201446.0
fred neil,37.0,40485.0
frederik wiedmann,33.0,6483.0
french 79,55.0,257992.0
french montana,73.0,5838449.0
french the kid,53.0,203154.0
freya ridings,59.0,494479.0
friedrich habetler,49.0,94208.0
friends & praise,5.0,37.0
frou frou,62.0,343386.0
frumhere,27.0,25022.0
fuerza regida,89.0,19797218.0
fugees,65.0,1660600.0
fujii kaze,74.0,4571036.0
fun.,66.0,3051567.0
fuse odg,59.0,150256.0
future,88.0,22688560.0
g herbo,69.0,2482067.0
g-eazy,74.0,6295804.0
g-epic,22.0,64.0
g-unit,61.0,2723614.0
gabry ponte,72.0,715424.0
galantis,68.0,3469806.0
gammer,47.0,67573.0
gang of youths,53.0,418614.0
gang starr,62.0,1081830.0
gareth coker,52.0,59849.0
gary o'slide,30.0,5450.0
gavin adcock,71.0,476523.0
gavin degraw,58.0,1257429.0
gayle,58.0,668804.0
geek music,60.0,310339.0
gen.kloud,46.0,17374.0
geneburn,36.0,33709.0
genesis,69.0,3738987.0
genevieve stokes,49.0,135787.0
geoff knorr,38.0,6381.0
geoff zanelli,44.666666666666664,20671.0
george ezra,68.0,4312223.0
george michael,72.0,5657083.0
george strait,72.0,5161216.0
gerry rafferty,62.0,453708.0
gesaffelstein,70.0,1264476.0
ghost,73.0,3771062.0
ghostemane,56.0,3698335.0
gigi,13.0,5.0
gigi perez,75.0,1646269.0
gin wigmore,47.0,198507.0
gina luciani,17.0,2206.0
ginaxc,18.0,232.0
ginuwine,64.0,2811233.0
gio mkl,38.0,33312.0
gioachino rossini,53.0,251044.0
girl in red,73.0,8771418.0
girls aloud,51.0,541698.0
girls' generation,62.0,2833512.0
givēon,78.0,5207169.0
glass animals,73.0,4568917.0
glasser,21.0,52027.0
glitter party,38.0,11431.0
global stage orchestra,19.0,4036.0
gloria kim,40.0,7972.0
gnarls barkley,65.0,603323.0
gnash,58.0,1588874.0
good neighbours,66.0,218657.0
gorillaz,82.0,14505359.0
gotye,68.0,2257047.0
govan,34.0,1434.0
gracie abrams,82.0,7430490.0
grady,40.0,44820.0
grailz beni,40.0,10811.0
grandson,63.0,1229419.0
grateful dead,64.0,2036799.0
green day,80.0,17333748.0
greg edmonson,37.0,9476.0
greta van fleet,63.0,2763868.0
grimes,67.0,2626020.0
grinderman,38.0,133984.0
grlwood,48.0,516428.0
groove crackers,47.0,6622.0
grouplove,60.0,1255113.0
grupo frontera,83.0,7470903.0
gryffin,66.0,1010217.0
gucci mane,76.0,5987438.0
gulmee,36.0,992.0
gunna,85.0,10353625.0
guns n' roses,80.0,35214496.0
gustavo santaolalla,63.0,394922.0
gustixa,58.0,219293.0
guy gerber,43.0,115851.0
gwen stefani,73.0,7069432.0
gwendolyn sanford,4.0,480.0
gym class heroes,67.0,1672769.0
gymbro,50.0,32968.0
haddaway,66.0,478049.0
haifa wehbe,51.0,1151605.0
hailee steinfeld,66.0,8862787.0
haim,65.0,1436323.0
haley heynderickx,53.0,319831.0
haley reinhart,59.0,369917.0
halloween all-stars,33.0,6103.0
halsey,80.0,22397897.0
handsome poets,26.0,20377.0
hank levy,39.0,8803.0
hank williams,55.0,1067339.0
hannah harlacher,20.0,218.0
hanno,45.0,2752.0
hans zimmer,77.0,4782404.0
hanumankind,66.0,876436.0
happening now,23.0,175.0
harmless,54.0,195974.0
harold faltermeyer,53.0,61279.0
harry gregson-williams,55.833333333333336,153209.0
harry styles,80.0,34139515.0
hayley kiyoko,54.0,1643656.0
health,57.0,321245.0
heart,67.0,3005585.0
heitor pereira,42.0,25577.0
helena deland,41.5,61404.0
hellyeah,49.0,764106.0
henry jackman,53.0,92288.0
henry mancini,55.0,255079.0
henry smith,62.0,28421.0
henry verus,45.0,77523.0
hey violet,48.0,1060491.0
hideki taniuchi,50.0,32194.0
